Timestamp,What year are you?,Are you planning to vote in the UC Election?,"If yes, who are you planning to vote for?"
11/15/2016 15:15:20,Sophomore,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/15/2016 16:09:16,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/15/2016 16:20:48,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/15/2016 16:40:21,Junior,Yes,"Eduardo A. Gonzalez ’18, with running mate Alex Popovski ’19"
11/15/2016 17:44:00,Junior,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/15/2016 19:57:16,Senior,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/15/2016 19:57:37,Junior,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/15/2016 20:00:06,Senior,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/15/2016 20:47:03,Senior,Yes,"Scott Ely ’18, with running mate Evan M. Bonsall ’19"
11/15/2016 22:05:18,Senior,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/15/2016 22:12:06,Sophomore,Yes,"Scott Ely ’18, with running mate Evan M. Bonsall ’19"
11/15/2016 22:17:43,Senior,Yes,"Eduardo A. Gonzalez ’18, with running mate Alex Popovski ’19"
11/15/2016 22:19:59,Senior,Yes,"Scott Ely ’18, with running mate Evan M. Bonsall ’19"
11/15/2016 23:27:38,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/15/2016 23:32:06,Sophomore,Yes,"Eduardo A. Gonzalez ’18, with running mate Alex Popovski ’19"
11/15/2016 23:53:40,Freshman,Yes,"Eduardo A. Gonzalez ’18, with running mate Alex Popovski ’19"
11/16/2016 0:50:57,Junior,Yes,"Eduardo A. Gonzalez ’18, with running mate Alex Popovski ’19"
11/16/2016 1:34:31,Freshman,Yes,"Eduardo A. Gonzalez ’18, with running mate Alex Popovski ’19"
11/16/2016 8:47:05,Senior,Yes,"Scott Ely ’18, with running mate Evan M. Bonsall ’19"
11/16/2016 14:13:17,Freshman,Yes,"Eduardo A. Gonzalez ’18, with running mate Alex Popovski ’19"
11/16/2016 15:37:07,Junior,Yes,"Scott Ely ’18, with running mate Evan M. Bonsall ’19"
